Sample_Number,Time_Seconds,Channel_4_Voltage
1,0.000000,-0.004320
2,0.000100,-0.004320
3,0.000200,-0.004320
4,0.000300,0.000785
5,0.000400,-0.004320
6,0.000500,-0.004320
7,0.000600,-0.004320
8,0.000700,-0.004320
9,0.000800,-0.004320
10,0.000900,-0.004320
11,0.001000,-0.004320
12,0.001100,-0.004320
13,0.001200,-0.004320
14,0.001300,-0.004320
15,0.001400,-0.004320
16,0.001500,-0.004320
17,0.001600,-0.004320
18,0.001700,-0.004320
19,0.001800,-0.004320
20,0.001900,0.000785
21,0.002000,-0.004320
22,0.002100,-0.004320
23,0.002200,-0.004320
24,0.002300,-0.004320
25,0.002400,0.000785
26,0.002500,-0.009425
27,0.002600,-0.004320
28,0.002700,-0.009425
29,0.002800,-0.009425
30,0.002900,-0.014530
31,0.003000,-0.009425
32,0.003100,-0.004320
33,0.003200,-0.004320
34,0.003300,-0.009425
35,0.003400,-0.004320
36,0.003500,-0.004320
37,0.003600,-0.009425
38,0.003700,-0.004320
39,0.003800,-0.009425
40,0.003900,-0.009425
41,0.004000,-0.009425
42,0.004100,-0.004320
43,0.004200,-0.009425
44,0.004300,-0.009425
45,0.004400,-0.009425
46,0.004500,-0.009425
47,0.004600,-0.004320
48,0.004700,-0.004320
49,0.004800,-0.004320
50,0.004900,-0.004320
51,0.005000,-0.004320
52,0.005100,-0.004320
53,0.005200,-0.004320
54,0.005300,-0.004320
55,0.005400,-0.004320
56,0.005500,-0.004320
57,0.005600,-0.004320
58,0.005700,-0.004320
59,0.005800,-0.004320
60,0.005900,-0.004320
61,0.006000,-0.004320
62,0.006100,-0.004320
63,0.006200,-0.004320
64,0.006300,-0.004320
65,0.006400,-0.004320
66,0.006500,-0.004320
67,0.006600,-0.004320
68,0.006700,-0.004320
69,0.006800,-0.004320
70,0.006900,-0.004320
71,0.007000,-0.004320
72,0.007100,0.000785
73,0.007200,-0.004320
74,0.007300,0.000785
75,0.007400,-0.004320
76,0.007500,-0.014530
77,0.007600,0.000785
78,0.007700,0.000785
79,0.007800,0.000785
80,0.007900,-0.004320
81,0.008000,-0.004320
82,0.008100,-0.004320
83,0.008200,0.000785
84,0.008300,-0.004320
85,0.008400,-0.004320
86,0.008500,-0.004320
87,0.008600,-0.004320
88,0.008700,-0.004320
89,0.008800,-0.004320
90,0.008900,-0.004320
91,0.009000,-0.004320
92,0.009100,-0.004320
93,0.009200,-0.004320
94,0.009300,0.000785
95,0.009400,-0.004320
96,0.009500,0.000785
97,0.009600,-0.004320
98,0.009700,-0.004320
99,0.009800,-0.004320
100,0.009900,0.000785
101,0.010000,-0.004320
102,0.010100,-0.004320
103,0.010200,-0.004320
104,0.010300,-0.004320
105,0.010400,-0.004320
106,0.010500,-0.004320
107,0.010600,-0.004320
108,0.010700,-0.004320
109,0.010800,-0.004320
110,0.010900,-0.004320
111,0.011000,-0.004320
112,0.011100,-0.004320
113,0.011200,-0.004320
114,0.011300,-0.004320
115,0.011400,-0.004320
116,0.011500,-0.004320
117,0.011600,-0.004320
118,0.011700,0.000785
119,0.011800,-0.004320
120,0.011900,-0.004320
121,0.012000,-0.004320
122,0.012100,-0.004320
123,0.012200,0.000785
124,0.012300,-0.004320
125,0.012400,-0.004320
126,0.012500,-0.004320
127,0.012600,-0.004320
128,0.012700,-0.004320
129,0.012800,-0.004320
130,0.012900,0.000785
131,0.013000,-0.004320
132,0.013100,-0.004320
133,0.013200,-0.004320
134,0.013300,-0.004320
135,0.013400,-0.004320
136,0.013500,0.000785
137,0.013600,-0.004320
138,0.013700,-0.004320
139,0.013800,-0.004320
140,0.013900,0.016101
141,0.014000,0.021206
142,0.014100,0.016101
143,0.014200,0.010995
144,0.014300,0.010995
145,0.014400,0.005890
146,0.014500,0.010995
147,0.014600,0.005890
148,0.014700,0.005890
149,0.014800,0.000785
150,0.014900,0.000785
151,0.015000,0.005890
152,0.015100,0.000785
153,0.015200,0.005890
154,0.015300,0.000785
155,0.015400,0.000785
156,0.015500,-0.004320
157,0.015600,0.000785
158,0.015700,0.000785
159,0.015800,-0.004320
160,0.015900,0.000785
161,0.016000,-0.004320
162,0.016100,-0.004320
163,0.016200,-0.004320
164,0.016300,-0.004320
165,0.016400,-0.004320
166,0.016500,-0.004320
167,0.016600,0.000785
168,0.016700,-0.004320
169,0.016800,0.000785
170,0.016900,-0.004320
171,0.017000,0.000785
172,0.017100,-0.004320
173,0.017200,-0.004320
174,0.017300,0.000785
175,0.017400,-0.004320
176,0.017500,-0.004320
177,0.017600,-0.004320
178,0.017700,-0.004320
179,0.017800,-0.004320
180,0.017900,-0.004320
181,0.018000,-0.004320
182,0.018100,0.000785
