Sample_Number,Time_Seconds,Channel_4_Voltage
1,0,-0.00432
2,0.0001,-0.009425
3,0.0002,-0.00432
4,0.0003,-0.009425
5,0.0004,-0.00432
6,0.0005,-0.00432
7,0.0006,-0.00432
8,0.0007,-0.00432
9,0.0008,-0.00432
10,0.0009,-0.00432
11,0.001,-0.00432
12,0.0011,-0.00432
13,0.0012,-0.00432
14,0.0013,-0.00432
15,0.0014,0.000785
16,0.0015,-0.00432
17,0.0016,0.000785
18,0.0017,-0.00432
19,0.0018,-0.00432
20,0.0019,-0.00432
21,0.002,-0.00432
22,0.0021,-0.00432
23,0.0022,-0.00432
24,0.0023,-0.00432
25,0.0024,-0.00432
26,0.0025,-0.00432
27,0.0026,-0.00432
28,0.0027,-0.00432
29,0.0028,-0.00432
30,0.0029,-0.00432
31,0.003,-0.00432
32,0.0031,-0.00432
33,0.0032,-0.00432
34,0.0033,-0.00432
35,0.0034,-0.00432
36,0.0035,0.000785
37,0.0036,-0.00432
38,0.0037,-0.00432
39,0.0038,-0.00432
40,0.0039,-0.00432
41,0.004,-0.00432
42,0.0041,-0.00432
43,0.0042,-0.00432
44,0.0043,-0.00432
45,0.0044,-0.00432
46,0.0045,-0.00432
47,0.0046,-0.00432
48,0.0047,-0.00432
49,0.0048,-0.00432
50,0.0049,-0.00432
51,0.005,-0.00432
52,0.0051,0.000785
53,0.0052,-0.00432
54,0.0053,-0.00432
55,0.0054,-0.00432
56,0.0055,-0.00432
57,0.0056,0.000785
58,0.0057,-0.00432
59,0.0058,-0.00432
60,0.0059,-0.00432
61,0.006,-0.00432
62,0.0061,0.000785
63,0.0062,-0.00432
64,0.0063,-0.00432
65,0.0064,-0.00432
66,0.0065,-0.00432
67,0.0066,-0.00432
68,0.0067,0.000785
69,0.0068,-0.00432
70,0.0069,0.000785
71,0.007,-0.00432
72,0.0071,-0.00432
73,0.0072,-0.00432
74,0.0073,-0.00432
75,0.0074,-0.00432
76,0.0075,-0.00432
77,0.0076,-0.00432
78,0.0077,-0.00432
79,0.0078,-0.00432
80,0.0079,-0.00432
81,0.008,-0.00432
82,0.0081,-0.00432
83,0.0082,0.010995
84,0.0083,0.00589
85,0.0084,0.010995
86,0.0085,0.00589
87,0.0086,0.000785
88,0.0087,0.000785
89,0.0088,0.010995
90,0.0089,0.00589
91,0.009,0.00589
92,0.0091,0.00589
93,0.0092,0.000785
94,0.0093,0.000785
95,0.0094,0.000785
96,0.0095,0.000785
97,0.0096,0.000785
98,0.0097,0.000785
99,0.0098,-0.00432
100,0.0099,0.000785
101,0.01,0.016101
102,0.0101,0.000785
103,0.0102,-0.00432
104,0.0103,0.000785
105,0.0104,0.000785
106,0.0105,0.000785
107,0.0106,0.000785
108,0.0107,-0.00432
109,0.0108,-0.00432
110,0.0109,-0.00432
111,0.011,-0.00432
112,0.0111,-0.00432
113,0.0112,-0.00432
114,0.0113,-0.00432
115,0.0114,0.000785
116,0.0115,0.000785
117,0.0116,-0.00432
118,0.0117,-0.00432
119,0.0118,-0.00432
120,0.0119,-0.00432
121,0.012,-0.00432
122,0.0121,-0.00432
123,0.0122,-0.00432
124,0.0123,0.000785
125,0.0124,0.000785
126,0.0125,-0.00432
127,0.0126,-0.00432
128,0.0127,0.000785
129,0.0128,0.000785
130,0.0129,-0.00432
131,0.013,-0.00432
132,0.0131,-0.00432
133,0.0132,-0.00432
134,0.0133,-0.00432
135,0.0134,0.000785
136,0.0135,-0.00432
137,0.0136,-0.00432
138,0.0137,-0.00432
139,0.0138,-0.00432
140,0.0139,-0.00432
141,0.014,-0.00432
142,0.0141,-0.00432
143,0.0142,-0.00432
144,0.0143,-0.00432
145,0.0144,-0.00432
146,0.0145,-0.00432
147,0.0146,-0.00432
148,0.0147,0.000785
149,0.0148,-0.00432
150,0.0149,-0.00432
151,0.015,-0.00432
152,0.0151,-0.00432
153,0.0152,-0.00432
154,0.0153,-0.00432
155,0.0154,-0.00432
156,0.0155,-0.00432
157,0.0156,-0.00432
158,0.0157,-0.00432
159,0.0158,-0.00432
160,0.0159,-0.00432
161,0.016,-0.00432
162,0.0161,0.000785
163,0.0162,-0.00432
